Country,Region,adb_region,AAA Group,Overall DRI Score,Basic Needs,Business & Government Investment,Ease of Doing Business,Human Capital,Start-Up Environment,Technology Adoption,Technology Infrastructure,,included?,iso3,country,adb_region
Afghanistan,Asia Pacific,South Asia,Activate,-1.53,-0.68,-1.38,-1.52,-2.20,-0.63,-1.57,-1.30,,1.00,AFG,Afghanistan,South Asia
Albania,Eastern Europe,-,Accelerate High,0.05,0.62,-0.16,-0.04,0.39,-0.37,-0.19,0.08,,1.00,BGD,Bangladesh,South Asia
Algeria,Africa,-,Accelerate Low,-0.54,0.42,-0.91,-0.77,-1.08,-0.59,-0.34,-0.03,,1.00,KHM,Cambodia,Southeast Asia
Angola,Africa,-,Activate,-1.24,-1.76,-0.98,-0.85,-0.75,-0.57,-1.33,-1.27,,1.00,CHN,China,East Asia
Argentina,LATAM,-,Accelerate High,0.00,0.62,-0.39,-0.51,0.35,-0.37,0.13,0.19,,1.00,IND,India,South Asia
Armenia,Middle East,Caucasus and Central Asia,Accelerate High,0.16,0.56,0.04,0.41,0.12,-0.16,-0.06,0.06,,1.00,IDN,Indonesia,Southeast Asia
Australia,Asia Pacific,-,Amplify,1.49,0.92,1.54,1.24,1.39,1.78,0.97,1.18,,1.00,KAZ,Kazakhstan,Caucasus and Central Asia
Austria,Western Europe,-,Amplify,1.10,0.86,1.57,1.44,1.06,-0.18,1.02,0.91,,1.00,KGZ,Kyrgyzstan,Caucasus and Central Asia
Azerbaijan,Middle East,Caucasus and Central Asia,Accelerate High,0.08,0.35,-0.15,0.29,0.37,-0.44,-0.03,0.10,,1.00,LAO,Laos,Southeast Asia
Bangladesh,Asia Pacific,South Asia,Accelerate Low,-0.82,0.18,-0.66,-1.21,-0.99,-0.64,-0.97,-0.67,,1.00,MYS,Malaysia,Southeast Asia
Belarus,Eastern Europe,-,Accelerate High,0.20,0.57,-0.88,0.02,1.01,-0.38,0.28,0.57,,1.00,MNG,Mongolia,East Asia
