report,region,status,year,value,metric
emr2023,CEE,actual,2023,19,GB/month
emr2017,CEE,actual,2016,2.7,GB/month
emr2018,CEE,actual,2017,3.6,GB/month
emr2019,CEE,actual,2018,4.5,GB/month
emr2020,CEE,actual,2019,5.1,GB/month
emr2021,CEE,actual,2020,7.6,GB/month
emr2022,CEE,actual,2021,9.9,GB/month
emr2023,CEE,actual,2022,16,GB/month
emr2023,INB,actual,2023,31,GB/month
emr2017,INB,actual,2016,4.1,GB/month
emr2018,INB,actual,2017,5.4,GB/month
emr2019,INB,actual,2018,10.2,GB/month
emr2020,INB,actual,2019,13.5,GB/month
emr2021,INB,actual,2020,16.1,GB/month
emr2022,INB,actual,2021,20,GB/month
emr2023,INB,actual,2022,25,GB/month
emr2023,LATAM,actual,2023,15,GB/month
emr2017,LATAM,actual,2016,1.7,GB/month
emr2018,LATAM,actual,2017,2.4,GB/month
emr2019,LATAM,actual,2018,3.1,GB/month
emr2020,LATAM,actual,2019,3.8,GB/month
emr2021,LATAM,actual,2020,5.9,GB/month
emr2022,LATAM,actual,2021,7.7,GB/month
emr2023,LATAM,actual,2022,12,GB/month
emr2023,MENA,actual,2023,17,GB/month
emr2017,MENA,actual,2016,0.3,GB/month
emr2018,MENA,actual,2017,0.6,GB/month
emr2019,MENA,actual,2018,1.8,GB/month
emr2020,MENA,actual,2019,4.2,GB/month
emr2021,MENA,actual,2020,7,GB/month
emr2022,MENA,actual,2021,7.8,GB/month
emr2023,MENA,actual,2022,14,GB/month
emr2023,NAM,actual,2023,26,GB/month
emr2017,NAM,actual,2016,5.2,GB/month
emr2018,NAM,actual,2017,6.6,GB/month
emr2019,NAM,actual,2018,7,GB/month
emr2020,NAM,actual,2019,8.4,GB/month
emr2021,NAM,actual,2020,11.1,GB/month
emr2022,NAM,actual,2021,14,GB/month
emr2023,NAM,actual,2022,19,GB/month
emr2023,NEA,actual,2023,21,GB/month
emr2017,NEA,actual,2016,1.2,GB/month
emr2018,NEA,actual,2017,3,GB/month
emr2019,NEA,actual,2018,6.9,GB/month
emr2020,NEA,actual,2019,7.8,GB/month
emr2021,NEA,actual,2020,11,GB/month
emr2022,NEA,actual,2021,14,GB/month
emr2023,NEA,actual,2022,18,GB/month
emr2023,SEAO,actual,2023,24,GB/month
emr2017,SEAO,actual,2016,1.8,GB/month
emr2018,SEAO,actual,2017,2.7,GB/month
emr2019,SEAO,actual,2018,3.6,GB/month
emr2020,SEAO,actual,2019,4.7,GB/month
emr2021,SEAO,actual,2020,6.1,GB/month
emr2022,SEAO,actual,2021,9.1,GB/month
emr2023,SEAO,actual,2022,16,GB/month
emr2023,SSA,actual,2023,6.7,GB/month
emr2017,SSA,actual,2016,1,GB/month
emr2018,SSA,actual,2017,1.4,GB/month
emr2019,SSA,actual,2018,0.9,GB/month
emr2020,SSA,actual,2019,1.6,GB/month
emr2021,SSA,actual,2020,2.2,GB/month
emr2022,SSA,actual,2021,3.3,GB/month
emr2023,SSA,actual,2022,5,GB/month
emr2023,WE,actual,2023,27,GB/month
emr2017,WE,actual,2016,2.8,GB/month
emr2018,WE,actual,2017,4,GB/month
emr2019,WE,actual,2018,6.2,GB/month
emr2020,WE,actual,2019,7.6,GB/month
emr2021,WE,actual,2020,11.2,GB/month
emr2022,WE,actual,2021,15,GB/month
emr2023,WE,actual,2022,22,GB/month
