"","income","scenario_adopt","scenario_sharing","strategy_short","total_energy_annual_demand_kwh","total_demand_carbon_tonnes","total_nitrogen_oxide_tonnes","total_sulpher_dioxide_tonnes","total_pm10_tonnes"
"1","LIC","baseline","Baseline","4G (F)",9561020567.04,810170.222625538,189.589397183938,15812.9556722422,7884.68417985998
"2","LIC","baseline","Baseline","4G (W)",11864880944.64,1005391.96301723,235.273589276453,19623.306436638,9784.60807862143
"3","LIC","baseline","Baseline","5G (F)",4236735876.48,357841.136397891,83.9252480269692,6999.8499310008,3490.02260695008
"4","LIC","baseline","Baseline","5G (W)",5257636087.68,444067.916252804,104.148199358769,8686.56075774798,4330.99190982962
"5","LIC","baseline","Passive","4G (F)",9561020567.04,810170.222625538,189.589397183938,15812.9556722422,7884.68417985998
"6","LIC","baseline","Passive","4G (W)",11864880944.64,1005391.96301723,235.273589276453,19623.306436638,9784.60807862143
"7","LIC","baseline","Passive","5G (F)",4236735876.48,357841.136397891,83.9252480269692,6999.8499310008,3490.02260695008
"8","LIC","baseline","Passive","5G (W)",5257636087.68,444067.916252804,104.148199358769,8686.56075774798,4330.99190982962
"9","LIC","baseline","Active","4G (F)",8528404101.12,730207.503344472,168.843757432539,14112.3617865778,7125.45937266004
"10","LIC","baseline","Active","4G (W)",10583235198.72,906142.543556253,209.525028639975,17512.59471058,8842.25528476538
"11","LIC","baseline","Active","5G (F)",3990273206.4,338239.566585503,78.9579869058119,6588.65723397644,3294.20403113041
"12","LIC","baseline","Active","5G (W)",4951784822.4,419743.076606106,97.9840078469714,8176.28548312739,4087.98813501725
"13","LIC","baseline","SRN","4G (F)",8731329220.8,746769.146100883,172.869328128261,14449.3590044795,7297.20869959865
"14","LIC","baseline","SRN","4G (W)",10835263972.8,926713.518655312,214.524587918204,17931.132258571,9055.57224167062
"15","LIC","baseline","SRN","5G (F)",4188800946.24,354543.86512639,82.8977335449378,6917.84412011016,3460.10673275723
"16","LIC","baseline","SRN","5G (W)",5198150571.84,439976.121783351,102.873091025646,8584.79451049815,4293.86739125295
"17","LIC","high","Baseline","4G (F)",16124022728.64,1377858.44464714,319.615016851348,26696.7750640482,13427.905936783
"18","LIC","high","Baseline","4G (W)",20009329410.24,1709872.52769464,396.630683562516,33129.7329108068,16663.54592155
"19","LIC","high","Baseline","5G (F)",7131538005.12,604827.764930278,141.259069204477,11786.4875907175,5890.54328815922
"20","LIC","high","Baseline","5G (W)",8849980897.92,750569.395033959,175.297399133266,14626.6050824567,7309.95130940241
"21","LIC","high","Passive","4G (F)",16124022728.64,1377858.44464714,319.615016851348,26696.7750640482,13427.905936783
"22","LIC","high","Passive","4G (W)",20009329410.24,1709872.52769464,396.630683562516,33129.7329108068,16663.54592155
"23","LIC","high","Passive","5G (F)",7131538005.12,604827.764930278,141.259069204477,11786.4875907175,5890.54328815922
"24","LIC","high","Passive","5G (W)",8849980897.92,750569.395033959,175.297399133266,14626.6050824567,7309.95130940241
"25","LIC","high","Active","4G (F)",13516830181.44,1165415.08900445,267.600598672119,22396.260120492,11396.4972516226
"26","LIC","high","Active","4G (W)",16773691659.84,1446219.42696562,332.078699093911,27792.6131249555,14142.4589176948
"27","LIC","high","Active","5G (F)",6586262904.96,562302.407201393,130.291006579418,10884.9188316499,5480.46919134269
"28","LIC","high","Active","5G (W)",8173314207.36,697796.963153535,161.686429851567,13507.7908392764,6801.0641772084
"29","LIC","high","SRN","4G (F)",13719755301.12,1181976.73176086,271.626169367841,22733.2573383937,11568.2465785612
"30","LIC","high","SRN","4G (W)",17025720433.92,1466790.40206468,337.07825837214,28211.1506729464,14355.7758746001
"31","LIC","high","SRN","5G (F)",6789292724.16,578873.489116854,134.318595469631,11222.0868844866,5652.31113102697
"32","LIC","high","SRN","5G (W)",8425266874.56,718361.076855855,166.68452208882,13926.2042060496,7014.31381320214
"33","LIC","low","Baseline","4G (F)",6570924425.28,555639.267240253,130.114692141402,10852.8876582427,5412.74069765011
"34","LIC","low","Baseline","4G (W)",8154279708.48,689528.247298145,161.4676300068,13468.0413108313,6717.01556455375
"35","LIC","low","Baseline","5G (F)",2968440791.04,250503.997611781,58.8115102531044,4903.68807383493,2440.33091680665
"36","LIC","low","Baseline","5G (W)",3683727728.64,310866.406674861,72.9829585068645,6085.29965789154,3028.36246302513
"37","LIC","low","Passive","4G (F)",6570924425.28,555639.267240253,130.114692141402,10852.8876582427,5412.74069765011
"38","LIC","low","Passive","4G (W)",8154279708.48,689528.247298145,161.4676300068,13468.0413108313,6717.01556455375
"39","LIC","low","Passive","5G (F)",2968440791.04,250503.997611781,58.8115102531044,4903.68807383493,2440.33091680665
"40","LIC","low","Passive","5G (W)",3683727728.64,310866.406674861,72.9829585068645,6085.29965789154,3028.36246302513
"41","LIC","low","Active","4G (F)",6055453788.48,515968.169277309,119.780239736764,10004.3897633773,5029.85542123906
"42","LIC","low","Active","4G (W)",7514393244.48,640279.273569291,148.638976559676,12414.7499107047,6241.68652577307
"43","LIC","low","Active","5G (F)",2775252726.72,234416.369609255,54.9760201617609,4584.88840521348,2284.67447231468
"44","LIC","low","Active","5G (W)",3443988323.52,290902.241804256,68.2232539356793,5689.68079201191,2835.19844154713
"45","LIC","low","SRN","4G (F)",6258378908.16,532529.812033719,123.805810432486,10341.386981279,5201.60474817767
"46","LIC","low","SRN","4G (W)",7766422018.56,660850.248668351,153.638535837904,12833.2874586956,6455.00348267831
"47","LIC","low","SRN","5G (F)",2962542718.08,250054.743757792,58.6965016470091,4894.15330934455,2435.75209910043
"48","LIC","low","SRN","5G (W)",3676408433.28,310308.898880151,72.8402369836378,6073.46735978902,3022.68031575114
"49","LMIC","baseline","Baseline","4G (F)",27989217982.08,1884156.33534845,553.415556029925,49937.4141962535,36222.6552535821
"50","LMIC","baseline","Baseline","4G (W)",34422936209.28,2320357.43589515,680.772757460302,61431.3329391592,44565.2176645858
"51","LMIC","baseline","Baseline","5G (F)",8777449359.36,575546.852241483,173.428020527804,15672.0864835815,11430.9707985402
"52","LMIC","baseline","Baseline","5G (W)",9327470837.76,612680.582063895,184.000161567299,16593.9700825344,12010.3724867675
"53","LMIC","baseline","Passive","4G (F)",27989217982.08,1884156.33534845,553.415556029925,49937.4141962535,36222.6552535821
"54","LMIC","baseline","Passive","4G (W)",34422936209.28,2320357.43589515,680.772757460302,61431.3329391592,44565.2176645858
"55","LMIC","baseline","Passive","5G (F)",8777449359.36,575546.852241483,173.428020527804,15672.0864835815,11430.9707985402
"56","LMIC","baseline","Passive","5G (W)",9327470837.76,612680.582063895,184.000161567299,16593.9700825344,12010.3724867675
"57","LMIC","baseline","Active","4G (F)",14300942336.64,1003444.37267295,279.161047924746,24844.3325115378,17058.6579186888
"58","LMIC","baseline","Active","4G (W)",17722455373.44,1243654.89102049,345.933181731195,30785.1551293455,21133.0758060761
"59","LMIC","baseline","Active","5G (F)",7271765562.24,480485.643147518,143.928085973006,13024.9135984703,9552.03481487188
"60","LMIC","baseline","Active","5G (W)",8991562400.64,594249.767139075,178.007329055512,16111.3748970649,11822.2969154441
"61","LMIC","baseline","SRN","4G (F)",22475060712,1527348.35021127,443.317048123601,39876.6651728027,28574.5052537376
"62","LMIC","baseline","SRN","4G (W)",27786009038.4,1889105.27746442,548.142189670565,49307.3025828095,35336.6217598213
"63","LMIC","baseline","SRN","5G (F)",8770294892.16,575068.225110021,173.298249257215,15660.8760813074,11424.2382110761
"64","LMIC","baseline","SRN","5G (W)",10151294175.36,666944.732525958,200.395842707159,18088.3491060251,13135.79442839
"65","LMIC","high","Baseline","4G (F)",46112181396.48,3123935.17207636,913.072717184055,82497.9812855302,60138.7663543318
"66","LMIC","high","Baseline","4G (W)",57127138548.48,3870886.06986876,1131.27320579761,102216.685577966,74523.9203726751
"67","LMIC","high","Baseline","5G (F)",14149616630.4,936322.731647239,280.636794033275,25424.6139174224,18723.9658140593
"68","LMIC","high","Baseline","5G (W)",16230286224,1078141.33984648,321.848184580512,29127.9208319421,21367.6378772604
"69","LMIC","high","Passive","4G (F)",46112181396.48,3123935.17207636,913.072717184055,82497.9812855302,60138.7663543318
"70","LMIC","high","Passive","4G (W)",57127138548.48,3870886.06986876,1131.27320579761,102216.685577966,74523.9203726751
"71","LMIC","high","Passive","5G (F)",14149616630.4,936322.731647239,280.636794033275,25424.6139174224,18723.9658140593
"72","LMIC","high","Passive","5G (W)",16230286224,1078141.33984648,321.848184580512,29127.9208319421,21367.6378772604
"73","LMIC","high","Active","4G (F)",21020487730.56,1487425.18832025,409.791158228039,36414.3609236789,24846.0574749123
"74","LMIC","high","Active","4G (W)",26060255890.56,1844203.52066303,508.022623957308,45141.5246427828,30795.7534708707
"75","LMIC","high","Active","5G (F)",10403206056,693821.924958054,206.003099248115,18641.1978095008,13667.489515959
"76","LMIC","high","Active","5G (W)",12889542139.2,859872.7074896,255.276338784882,23101.6345739591,16942.590973663
