"","scenario_adopt","scenario_capacity","strategy_short","cost_per_network_user","cost_per_smartphone_user","Cost_Type","value"
"1","Baseline (4% Adoption CAGR)","20 GB/Month","4G (F)",824.829129727543,1183.23398569885,"Private Investment Cost ($USD)",44.19
"2","Baseline (4% Adoption CAGR)","20 GB/Month","4G (W)",750.185703610864,1076.15648878815,"Private Investment Cost ($USD)",40.191
"3","Baseline (4% Adoption CAGR)","20 GB/Month","5G (F)",293.884626052,421.583410292489,"Private Investment Cost ($USD)",15.745
"4","Baseline (4% Adoption CAGR)","20 GB/Month","5G (W)",267.563786169922,383.825635793304,"Private Investment Cost ($USD)",14.335
"5","Baseline (4% Adoption CAGR)","30 GB/Month","4G (F)",1076.71659033592,1544.57161699912,"Private Investment Cost ($USD)",57.685
"6","Baseline (4% Adoption CAGR)","30 GB/Month","4G (W)",946.767356781407,1358.15682632847,"Private Investment Cost ($USD)",50.723
"7","Baseline (4% Adoption CAGR)","30 GB/Month","5G (F)",395.082386382885,566.753634020722,"Private Investment Cost ($USD)",21.166
"8","Baseline (4% Adoption CAGR)","30 GB/Month","5G (W)",378.595505557577,543.102871689964,"Private Investment Cost ($USD)",20.283
"9","Baseline (4% Adoption CAGR)","40 GB/Month","4G (F)",1346.58475632475,1931.70293201666,"Private Investment Cost ($USD)",72.143
"10","Baseline (4% Adoption CAGR)","40 GB/Month","4G (W)",1157.36947370934,1660.2698012807,"Private Investment Cost ($USD)",62.006
"11","Baseline (4% Adoption CAGR)","40 GB/Month","5G (F)",516.731859758485,741.262251687902,"Private Investment Cost ($USD)",27.684
"12","Baseline (4% Adoption CAGR)","40 GB/Month","5G (W)",494.602541290103,709.517299008077,"Private Investment Cost ($USD)",26.498
"13","High (6% Adoption CAGR)","20 GB/Month","4G (F)",918.641489334579,1118.95319051441,"Private Investment Cost ($USD)",53.434
"14","High (6% Adoption CAGR)","20 GB/Month","4G (W)",814.976264995692,992.683546843724,"Private Investment Cost ($USD)",47.404
"15","High (6% Adoption CAGR)","20 GB/Month","5G (F)",325.816017540369,396.860882705805,"Private Investment Cost ($USD)",18.952
"16","High (6% Adoption CAGR)","20 GB/Month","5G (W)",293.425253892606,357.407245190352,"Private Investment Cost ($USD)",17.068
"17","High (6% Adoption CAGR)","30 GB/Month","4G (F)",1224.70676383282,1491.7566392826,"Private Investment Cost ($USD)",71.237
"18","High (6% Adoption CAGR)","30 GB/Month","4G (W)",1053.8549316798,1283.650207217,"Private Investment Cost ($USD)",61.299
"19","High (6% Adoption CAGR)","30 GB/Month","5G (F)",456.035784492278,555.475342634484,"Private Investment Cost ($USD)",26.526
"20","High (6% Adoption CAGR)","30 GB/Month","5G (W)",435.35020146692,530.279224896932,"Private Investment Cost ($USD)",25.323
