"","scenario_capacity","strategy_short","baseline","high","low"
"1","20 GB/Month","4G (F)",22.415,27.525,19.585
"2","20 GB/Month","4G (W)",27.816,34.158,24.304
"3","20 GB/Month","5G (F)",8.599,10.993,7.063
"4","20 GB/Month","5G (W)",10.044,12.814,7.063
"5","30 GB/Month","4G (F)",29.876,37.368,25.718
"6","30 GB/Month","4G (W)",37.075,46.372,31.915
"7","30 GB/Month","5G (F)",12.61,16.122,10.36
"8","30 GB/Month","5G (W)",15.648,20.006,12.099
"9","40 GB/Month","4G (F)",37.868,47.917,32.292
"10","40 GB/Month","4G (W)",46.993,59.463,40.073
"11","40 GB/Month","5G (F)",16.908,21.614,13.89
"12","40 GB/Month","5G (W)",20.982,26.822,17.238
