scenario,country,iso3,settlement_type,year,penetration
low,Chile,CHL,urban,2020,86.9
low,Chile,CHL,urban,2021,87.33
low,Chile,CHL,urban,2022,87.77
low,Chile,CHL,urban,2023,88.21
low,Chile,CHL,urban,2024,88.65
low,Chile,CHL,urban,2025,89.09
low,Chile,CHL,urban,2026,89.54
low,Chile,CHL,urban,2027,89.99
low,Chile,CHL,urban,2028,90.44
low,Chile,CHL,urban,2029,90.89
low,Chile,CHL,urban,2030,91.34
low,Chile,CHL,rural,2020,63.2
low,Chile,CHL,rural,2021,63.52
low,Chile,CHL,rural,2022,63.83
low,Chile,CHL,rural,2023,64.15
low,Chile,CHL,rural,2024,64.47
low,Chile,CHL,rural,2025,64.8
low,Chile,CHL,rural,2026,65.12
low,Chile,CHL,rural,2027,65.45
low,Chile,CHL,rural,2028,65.77
low,Chile,CHL,rural,2029,66.1
low,Chile,CHL,rural,2030,66.43
baseline,Chile,CHL,urban,2020,86.9
baseline,Chile,CHL,urban,2021,87.77
baseline,Chile,CHL,urban,2022,88.65
baseline,Chile,CHL,urban,2023,89.53
baseline,Chile,CHL,urban,2024,90.43
baseline,Chile,CHL,urban,2025,91.33
baseline,Chile,CHL,urban,2026,92.25
baseline,Chile,CHL,urban,2027,93.17
baseline,Chile,CHL,urban,2028,94.1
baseline,Chile,CHL,urban,2029,95.0
baseline,Chile,CHL,urban,2030,95.0
baseline,Chile,CHL,rural,2020,63.2
baseline,Chile,CHL,rural,2021,63.83
baseline,Chile,CHL,rural,2022,64.47
baseline,Chile,CHL,rural,2023,65.12
baseline,Chile,CHL,rural,2024,65.77
baseline,Chile,CHL,rural,2025,66.42
baseline,Chile,CHL,rural,2026,67.09
baseline,Chile,CHL,rural,2027,67.76
baseline,Chile,CHL,rural,2028,68.44
baseline,Chile,CHL,rural,2029,69.12
baseline,Chile,CHL,rural,2030,69.81
high,Chile,CHL,urban,2020,86.9
high,Chile,CHL,urban,2021,88.64
high,Chile,CHL,urban,2022,90.41
high,Chile,CHL,urban,2023,92.22
high,Chile,CHL,urban,2024,94.06
high,Chile,CHL,urban,2025,95.0
high,Chile,CHL,urban,2026,95.0
high,Chile,CHL,urban,2027,95.0
high,Chile,CHL,urban,2028,95.0
high,Chile,CHL,urban,2029,95.0
high,Chile,CHL,urban,2030,95.0
high,Chile,CHL,rural,2020,63.2
high,Chile,CHL,rural,2021,64.46
high,Chile,CHL,rural,2022,65.75
high,Chile,CHL,rural,2023,67.07
high,Chile,CHL,rural,2024,68.41
high,Chile,CHL,rural,2025,69.78
high,Chile,CHL,rural,2026,71.17
high,Chile,CHL,rural,2027,72.6
high,Chile,CHL,rural,2028,74.05
high,Chile,CHL,rural,2029,75.53
high,Chile,CHL,rural,2030,77.04
