scenario,country,iso3,settlement_type,year,penetration
low,Colombia,COL,urban,2020,67.1
low,Colombia,COL,urban,2021,67.77
low,Colombia,COL,urban,2022,68.45
low,Colombia,COL,urban,2023,69.13
low,Colombia,COL,urban,2024,69.82
low,Colombia,COL,urban,2025,70.52
low,Colombia,COL,urban,2026,71.23
low,Colombia,COL,urban,2027,71.94
low,Colombia,COL,urban,2028,72.66
low,Colombia,COL,urban,2029,73.39
low,Colombia,COL,urban,2030,74.12
low,Colombia,COL,rural,2020,42.7
low,Colombia,COL,rural,2021,43.13
low,Colombia,COL,rural,2022,43.56
low,Colombia,COL,rural,2023,43.99
low,Colombia,COL,rural,2024,44.43
low,Colombia,COL,rural,2025,44.88
low,Colombia,COL,rural,2026,45.33
low,Colombia,COL,rural,2027,45.78
low,Colombia,COL,rural,2028,46.24
low,Colombia,COL,rural,2029,46.7
low,Colombia,COL,rural,2030,47.17
baseline,Colombia,COL,urban,2020,67.1
baseline,Colombia,COL,urban,2021,68.44
baseline,Colombia,COL,urban,2022,69.81
baseline,Colombia,COL,urban,2023,71.21
baseline,Colombia,COL,urban,2024,72.63
baseline,Colombia,COL,urban,2025,74.08
baseline,Colombia,COL,urban,2026,75.57
baseline,Colombia,COL,urban,2027,77.08
baseline,Colombia,COL,urban,2028,78.62
baseline,Colombia,COL,urban,2029,80.19
baseline,Colombia,COL,urban,2030,81.79
baseline,Colombia,COL,rural,2020,42.7
baseline,Colombia,COL,rural,2021,43.55
baseline,Colombia,COL,rural,2022,44.43
baseline,Colombia,COL,rural,2023,45.31
baseline,Colombia,COL,rural,2024,46.22
baseline,Colombia,COL,rural,2025,47.14
baseline,Colombia,COL,rural,2026,48.09
baseline,Colombia,COL,rural,2027,49.05
baseline,Colombia,COL,rural,2028,50.03
baseline,Colombia,COL,rural,2029,51.03
baseline,Colombia,COL,rural,2030,52.05
high,Colombia,COL,urban,2020,67.1
high,Colombia,COL,urban,2021,69.78
high,Colombia,COL,urban,2022,72.58
high,Colombia,COL,urban,2023,75.48
high,Colombia,COL,urban,2024,78.5
high,Colombia,COL,urban,2025,81.64
high,Colombia,COL,urban,2026,84.9
high,Colombia,COL,urban,2027,88.3
high,Colombia,COL,urban,2028,91.83
high,Colombia,COL,urban,2029,95.0
high,Colombia,COL,urban,2030,95.0
high,Colombia,COL,rural,2020,42.7
high,Colombia,COL,rural,2021,44.41
high,Colombia,COL,rural,2022,46.18
high,Colombia,COL,rural,2023,48.03
high,Colombia,COL,rural,2024,49.95
high,Colombia,COL,rural,2025,51.95
high,Colombia,COL,rural,2026,54.03
high,Colombia,COL,rural,2027,56.19
high,Colombia,COL,rural,2028,58.44
high,Colombia,COL,rural,2029,60.78
high,Colombia,COL,rural,2030,63.21
