scenario,country,penetration,year
low,CHL,75.59,2010
low,CHL,79.91,2011
low,CHL,82.12,2012
low,CHL,82.46,2013
low,CHL,82.62,2014
low,CHL,82.65,2015
low,CHL,83.16,2016
low,CHL,83.46000000000001,2017
low,CHL,83.77,2018
low,CHL,84.07,2019
low,CHL,84.37,2020
baseline,CHL,75.59,2010
baseline,CHL,79.91,2011
baseline,CHL,82.12,2012
baseline,CHL,82.46,2013
baseline,CHL,82.62,2014
baseline,CHL,82.65,2015
baseline,CHL,83.16,2016
baseline,CHL,83.46000000000001,2017
baseline,CHL,83.77,2018
baseline,CHL,84.07,2019
baseline,CHL,84.37,2020
high,CHL,75.59,2010
high,CHL,79.91,2011
high,CHL,82.12,2012
high,CHL,82.46,2013
high,CHL,82.62,2014
high,CHL,82.65,2015
high,CHL,83.16,2016
high,CHL,83.46000000000001,2017
high,CHL,83.77,2018
high,CHL,84.07,2019
high,CHL,84.37,2020
low,CHL,84.58,2021
low,CHL,84.79,2022
low,CHL,85.0,2023
low,CHL,85.22,2024
low,CHL,85.43,2025
low,CHL,85.64,2026
low,CHL,85.86,2027
low,CHL,86.07,2028
low,CHL,86.29,2029
low,CHL,86.5,2030
baseline,CHL,84.79,2021
baseline,CHL,85.22,2022
baseline,CHL,85.64,2023
baseline,CHL,86.07,2024
baseline,CHL,86.5,2025
baseline,CHL,86.93,2026
baseline,CHL,87.37,2027
baseline,CHL,87.8,2028
baseline,CHL,88.24,2029
baseline,CHL,88.68,2030
high,CHL,85.21,2021
high,CHL,86.07,2022
high,CHL,86.93,2023
high,CHL,87.8,2024
high,CHL,88.67,2025
high,CHL,89.56,2026
high,CHL,90.0,2027
high,CHL,90.0,2028
high,CHL,90.0,2029
high,CHL,90.0,2030
