scenario,country,penetration,year
low,COL,60.050000000000004,2010
low,COL,61.42999999999999,2011
low,COL,62.96000000000001,2012
low,COL,64.4,2013
low,COL,65.75,2014
low,COL,67.0,2015
low,COL,67.99,2016
low,COL,69.03,2017
low,COL,70.17,2018
low,COL,70.98,2019
low,COL,71.75,2020
baseline,COL,60.050000000000004,2010
baseline,COL,61.42999999999999,2011
baseline,COL,62.96000000000001,2012
baseline,COL,64.4,2013
baseline,COL,65.75,2014
baseline,COL,67.0,2015
baseline,COL,67.99,2016
baseline,COL,69.03,2017
baseline,COL,70.17,2018
baseline,COL,70.98,2019
baseline,COL,71.75,2020
high,COL,60.050000000000004,2010
high,COL,61.42999999999999,2011
high,COL,62.96000000000001,2012
high,COL,64.4,2013
high,COL,65.75,2014
high,COL,67.0,2015
high,COL,67.99,2016
high,COL,69.03,2017
high,COL,70.17,2018
high,COL,70.98,2019
high,COL,71.75,2020
low,COL,72.11,2021
low,COL,72.47,2022
low,COL,72.83,2023
low,COL,73.2,2024
low,COL,73.56,2025
low,COL,73.93,2026
low,COL,74.3,2027
low,COL,74.67,2028
low,COL,75.04,2029
low,COL,75.42,2030
baseline,COL,72.83,2021
baseline,COL,73.92,2022
baseline,COL,75.03,2023
baseline,COL,76.15,2024
baseline,COL,77.3,2025
baseline,COL,78.45,2026
baseline,COL,79.63,2027
baseline,COL,80.83,2028
baseline,COL,82.04,2029
baseline,COL,83.27,2030
high,COL,73.54,2021
high,COL,75.38,2022
high,COL,77.27,2023
high,COL,79.2,2024
high,COL,81.18,2025
high,COL,83.21,2026
high,COL,85.29,2027
high,COL,87.42,2028
high,COL,89.61,2029
high,COL,91.85,2030
